NIK,Tanggal,Jam Masuk,Jam Keluar,Keterangan
352,2022-08-30,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
353,2022-08-31,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
354,2022-09-01,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
355,2022-09-02,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
356,2022-09-03,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
357,2022-09-04,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
358,2022-09-05,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
359,2022-09-06,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
360,2022-09-07,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
361,2022-09-08,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
362,2022-09-09,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
363,2022-09-10,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
364,2022-09-11,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
365,2022-09-12,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
366,2022-09-13,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
367,2022-09-14,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
368,2022-09-15,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
369,2022-09-16,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
370,2022-09-17,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
371,2022-09-18,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
372,2022-09-19,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
373,2022-09-20,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
374,2022-09-21,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
375,2022-09-22,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
376,2022-09-23,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
377,2022-09-24,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
378,2022-09-25,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
379,2022-09-26,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
380,2022-09-27,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
381,2022-09-28,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
382,2022-09-29,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
383,2022-09-30,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
384,2022-10-01,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
385,2022-10-02,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
386,2022-10-03,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
387,2022-10-04,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
388,2022-10-05,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
389,2022-10-06,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
390,2022-10-07,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
391,2022-10-08,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
392,2022-10-09,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
393,2022-10-10,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
394,2022-10-11,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
395,2022-10-12,2022-08-30 6:00,2022-08-31  14:00:00 AM,H
