No,kind,topic,trainer,from_date,to_date,place,category
008/III/22,Internal,Process for Accepting and Checking Latex from Farmers,201-026,3/18/2022,3/18/2022,Factory,Quality
010/III/22,Internal,Understanding of SV-30,204-053,3/23/2022,3/24/2022,Factory,Quality
011/IV/22,Internal,Sistem Operasional WWTP (Blower & pompa),204-053,4/11/2022,4/11/2022,Factory,Quality
014/IV/22,Internal,Transfer latex dari tangki ke bak dilution dan pengukuran volume,201-026,4/12/2022,4/12/2022,Factory,Quality
015/V/22,Internal,Operasional mesin milling,212-017,5/12/2022,5/12/2022,Factory,Quality
016/V/22,Internal,Sistem pelaporan di WWTP,204-053,5/17/2022,5/17/2022,Factory,Quality
020/VI/22,Internal,Re-Training Prosedur Operasional Forklift,217-008,6/6/2022,6/6/2022,Safety & DP,Safety
021/VI/22,Internal,E8 Commitment (Staff & Monthly HO),193-007,6/6/2022,6/8/2022,HO Meeting Room,HRD & Legal
022/VI/22,External,Audit Internal,193-007,6/15/2022,6/17/2022,SGS Academy Indonesia,HSEQ
023/VI/22,Internal,Receiving Lump,201-026,6/14/2022,6/15/2022,Factory,Quality
025/VI/22,External,Make Design Competency,206-001,6/23/2022,6/23/2022,HRD-Forum,HRD & Legal
026/VI/22,External,"Code of Conduct - ""Pedoman Perilaku""",193-007,6/30/2022,6/30/2022,BSCAP Legal,HRD & Legal
027/VI/22,Internal,Pengisian Kartu Stock,213-024,6/30/2022,6/30/2022,HO Meeting Room,Quality
028/VII/22,Internal,E8 Commitment (Monthly Employee),206-001,6/27/2022,7/1/2022,HO Meeting Room,HRD & Legal
029/VII/22,Internal,Code of Conduct (Monthly Employee),193-007,6/27/2022,7/1/2022,HO Meeting Room,HRD & Legal
030/VII/22,Internal,Bridgeline (Monthly Employee),193-007,6/27/2022,7/1/2022,HO Meeting Room,HRD & Legal
031/VII/22,Internal,Loading USS di Trolly,212-017,7/12/2022,7/12/2022,Factory,Quality
032/VII/22,Internal,Judgement RSS,194-015,6/20/2022,6/22/2022,Factory,Quality
033/VII/22,Internal,Operasional Mixer latex,201-026,7/13/2022,7/13/2022,Factory,Quality
034/VII/22,Internal,Proses penerimaan dan Pengecekan Latex dari Petani,201-026,7/13/2022,7/13/2022,Factory,Quality
035/VII/22,External,Bimtek Sertifikasi Industri Hijau,193-007,7/13/2022,7/14/2022,Dinas Perindustrian Kalimantan Selatan,Environment
036/VII/22,Internal,Pengenalan Simbol dan Label LB3,199-042,7/7/2022,7/7/2022,Gudang Sari Ambon,Environment
038/VIII/22,Internal,Loading USS di kamar asap lama,212-017,8/22/2022,8/23/2022,Factory,Quality
039/VIII/22,Internal,Kebersihan bak dilution dan filter air,201-026,8/28/2022,8/28/2022,Factory,Quality
040/VIII/22,Internal,Kebersihan tangki latex,201-026,8/29/2022,8/29/2022,Factory,Quality
041/IX/22,Internal,Peruntuhan di kamar asap lama,200-032,9/13/2022,9/13/2022,Factory,Quality
042/IX/22,Internal,Peruntuhan di kamar asap baru,200-032,9/13/2022,9/13/2022,Factory,Quality
043/IX/22,Internal,Kebersihan bak Coagulasi,201-026,9/14/2022,9/14/2022,Factory,Quality
044/X/22,Internal,Penimbangan RSS sebelum Pressing,200-032,10/5/2022,10/5/2022,Factory,Quality
045/X/22,Internal,Operasional Mesin Press,200-032,10/5/2022,10/5/2022,Factory,Quality
046/XI/22,Internal,BS Essence & Leadership,200-138,10/21/2022,10/21/2022,HO Meeting Room,Quality
049/XI/22,Internal,Communication,200-138,11/4/2022,11/4/2022,HO Meeting Room,Quality
053/XII/22,Internal,Judgement RSS,194-015,12/13/2022,12/15/2022,Grading Room,Quality
