No,Kind,Topic,Trainer,From Date,To Date,Place,Category
008/III/22,Internal,Process for Accepting and Checking Latex from Farmers,201-026,2022-03-18,2022-03-18,Factory,Quality
010/III/22,Internal,Understanding of SV-30,204-053,2022-03-23,2022-03-24,Factory,Quality
011/IV/22,Internal,Sistem Operasional WWTP (Blower & pompa),204-053,2022-04-11,2022-04-11,Factory,Quality
014/IV/22,Internal,Transfer latex dari tangki ke bak dilution dan pengukuran volume,201-026,2022-04-12,2022-04-12,Factory,Quality
015/V/22,Internal,Operasional mesin milling,212-017,2022-05-12,2022-05-12,Factory,Quality
016/V/22,Internal,Sistem pelaporan di WWTP,204-053,2022-05-17,2022-05-17,Factory,Quality
020/VI/22,Internal,Re-Training Prosedur Operasional Forklift,217-008,2022-06-06,2022-06-06,Safety & DP,Safety
021/VI/22,Internal,E8 Commitment (Staff & Monthly HO),193-007,2022-06-06,2022-06-08,HO Meeting Room,HRD & Legal
022/VI/22,External,Audit Internal,193-007,2022-06-15,2022-06-17,SGS Academy Indonesia,HSEQ
023/VI/22,Internal,Receiving Lump,201-026,2022-06-14,2022-06-15,Factory,Quality
025/VI/22,External,Make Design Competency,206-001,2022-06-23,2022-06-23,HRD-Forum,HRD & Legal
026/VI/22,External,"Code of Conduct - ""Pedoman Perilaku""",193-007,2022-06-30,2022-06-30,BSCAP Legal,HRD & Legal
027/VI/22,Internal,Pengisian Kartu Stock,213-024,2022-06-30,2022-06-30,HO Meeting Room,Quality
028/VII/22,Internal,E8 Commitment (Monthly Employee),206-001,2022-06-27,2022-07-01,HO Meeting Room,HRD & Legal
029/VII/22,Internal,Code of Conduct (Monthly Employee),193-007,2022-06-27,2022-07-01,HO Meeting Room,HRD & Legal
030/VII/22,Internal,Bridgeline (Monthly Employee),193-007,2022-06-27,2022-07-01,HO Meeting Room,HRD & Legal
031/VII/22,Internal,Loading USS di Trolly,212-017,2022-07-12,2022-07-12,Factory,Quality
032/VII/22,Internal,Judgement RSS,194-015,2022-06-20,2022-06-22,Factory,Quality
033/VII/22,Internal,Operasional Mixer latex,201-026,2022-07-13,2022-07-13,Factory,Quality
034/VII/22,Internal,Proses penerimaan dan Pengecekan Latex dari Petani,201-026,2022-07-13,2022-07-13,Factory,Quality
035/VII/22,External,Bimtek Sertifikasi Industri Hijau,193-007,2022-07-13,2022-07-14,Dinas Perindustrian Kalimantan Selatan,Environment
036/VII/22,Internal,Pengenalan Simbol dan Label LB3,199-042,2022-07-07,2022-07-07,Gudang Sari Ambon,Environment
038/VIII/22,Internal,Loading USS di kamar asap lama,212-017,2022-08-22,2022-08-23,Factory,Quality
039/VIII/22,Internal,Kebersihan bak dilution dan filter air,201-026,2022-08-28,2022-08-28,Factory,Quality
040/VIII/22,Internal,Kebersihan tangki latex,201-026,2022-08-29,2022-08-29,Factory,Quality
041/IX/22,Internal,Peruntuhan di kamar asap lama,200-032,2022-09-13,2022-09-13,Factory,Quality
042/IX/22,Internal,Peruntuhan di kamar asap baru,200-032,2022-09-13,2022-09-13,Factory,Quality
043/IX/22,Internal,Kebersihan bak Coagulasi,201-026,2022-09-14,2022-09-14,Factory,Quality
044/X/22,Internal,Penimbangan RSS sebelum Pressing,200-032,2022-10-05,2022-10-05,Factory,Quality
045/X/22,Internal,Operasional Mesin Press,200-032,2022-10-05,2022-10-05,Factory,Quality
046/XI/22,Internal,BS Essence & Leadership,200-138,2022-10-21,2022-10-21,HO Meeting Room,Quality
049/XI/22,Internal,Communication,200-138,2022-11-04,2022-11-04,HO Meeting Room,Quality
053/XII/22,Internal,Judgement RSS,194-015,2022-12-13,2022-12-15,Grading Room,Quality
